region,trim_pct,n_countries,slope_mean,slope_med,slope_p25,slope_p75
East Asia,0,6,7.575802440610923,8.8939281115843265,0.7362139229093094,13.967080444760978
East Asia,5,6,7.572471553596972,8.891724908490628,0.48106966192696166,14.119435781588434
East Asia,10,6,7.4091856447039275,8.88945554390439,0.12833784480420096,14.236244771944136
East Asia,15,6,7.166930566443959,8.72519701456351,-0.3304454525485734,14.242202545283181
East Asia,20,6,6.928364270149829,8.707320286721485,-0.8517740997645088,14.127459365356504
East Asia,25,6,6.577077567827783,8.459537179616106,-1.4224232796299277,14.043158910620505
East Asia,30,6,6.207399454392479,8.098483153162595,-2.46531105871114,14.061001612539133
Non-OECD,0,38,0.9301792251064875,1.3802664114169527,-1.1726400052603674,3.023897254170751
Non-OECD,5,38,0.9237677290102855,1.3822300569174697,-1.320324512575946,3.0891472671820557
Non-OECD,10,38,0.94379746232889306,1.3295516387456194,-1.4756061377722398,3.1198201474455574
Non-OECD,15,38,0.8936848583251136,1.4176760093610712,-1.6894980632301355,3.265293411653636
Non-OECD,20,38,0.9244120614644918,1.577199058308178,-1.5618340367186145,3.2507096933506876
Non-OECD,25,38,0.8978501457388885,1.604759618126948,-1.5681609067253741,3.3306374912540693
Non-OECD,30,38,0.9092499215998607,1.5616131537145181,-1.4870501528805078,3.4818183740581725
Nordic,0,4,-12.392256681316745,-13.580171960819117,-14.854294914384202,-11.11813372775166
Nordic,5,4,-12.717768293615567,-13.693077489905956,-14.866716852414058,-11.544128931107466
Nordic,10,4,-13.249514944306586,-14.019113180187862,-15.393162018808026,-11.875466105686423
Nordic,15,4,-13.246887062619265,-14.193423117991554,-15.561811405862127,-11.87849877474869
Nordic,20,4,-13.30304262715617,-14.120338878764539,-15.249354172595353,-12.174027333325355
Nordic,25,4,-13.164539744256993,-13.82963066280126,-15.159351275259997,-11.834819131798257
Nordic,30,4,-13.141086182812534,-14.15317169612704,-15.387357992229798,-11.906899886709779
OECD (other),0,29,-3.4347854659287407,-2.7025451622410204,-7.9988507614212425,1.6601085714737671
OECD (other),5,29,-3.6480593517498976,-2.897001643387406,-8.116355771836329,1.887471135276713
OECD (other),10,29,-3.8054511385506795,-3.208552599498472,-8.188247262333498,1.8356573729191648
OECD (other),15,29,-4.02578500607048,-3.1106848063517227,-8.290214414679884,1.6748638528391249
OECD (other),20,29,-4.2045142155907955,-3.2917455385511887,-8.247737447983447,0.6813429105178928
OECD (other),25,29,-4.364119421703137,-3.659560135228679,-8.251822725517343,0.6817202585848604
OECD (other),30,29,-4.621692770448078,-3.9060545873305847,-8.442015497604276,-0.3369961650281253
