construct,FIN_slope,TAP_slope,FIN_se,TAP_se,FIN_t,TAP_t,sign_TAP,sign_FIN,reversal
BELONG,0.01427879566793019,-0.054674151406731444,0.008478265237136478,0.014773022674270482,1.6841647752875486,-3.7009454742092145,-,+,TRUE
FAMSUP,-0.06332477914286387,0.04729284088629841,0.009465797134845804,0.014108002578724637,-6.689851709345281,3.3521996202082978,+,-,TRUE
ANXMAT,-0.23301895630547503,-0.20331379349773454,0.007511526998239651,0.012297656592270197,-31.021516179078333,-16.532726537959213,-,-,FALSE
CURIOAGR,0.1921542603770219,0.1432587943904787,0.009153636258854202,0.01364966105305007,20.992123233119887,10.495410386653298,+,+,FALSE
GROSAGR,0.10431700805632763,0.09937506450410069,0.00894116176586553,0.012729752516848231,11.667052983492178,7.806519755397808,+,+,FALSE
MATHEF21,0.27647145718920624,0.33481346499062076,0.008833719946046653,0.01262232123005816,31.29728572762093,26.52550659171253,+,+,FALSE
MATHEFF,0.33879565878193746,0.41231058821068706,0.006677770738357277,0.00926385766530146,50.73484431501773,44.50743989245757,+,+,FALSE
MATHMOT,0.31198945940101297,0.13529365392283974,0.028566031013986286,0.0645213206399989,10.92169434557636,2.096882899804855,+,+,FALSE
SDLEFF,0.15699974778698522,0.08162263540194208,0.010127251254211683,0.017972516881290933,15.50270096455766,4.54152503742588,+,+,FALSE
TEACHSUP,0.11465247993945822,0.07932943068359806,0.008335618251339758,0.013818336901969333,13.754526236974742,5.740881210697096,+,+,FALSE
