input,layer,East Asia,Nordic,EA_minus_Nordic
MATHEFF,L0,0.4333845390177905,0.3880769982207472,0.0453075407970433
MATHEFF,L1,0.3724378072480665,0.34467352557578457,0.027764281672281954
MATHEFF,L2,0.3597785400135872,0.361710401807011,-0.0019318617934237503
MATHEFF,L3,0.3724378072480665,0.34467352557578457,0.027764281672281954
MATHMOT,L0,-0.023313315377144768,0.2838129445774806,-0.30712625995462534
MATHMOT,L1,0.04235906893326822,0.26538958232804544,-0.22303051339477722
MATHMOT,L2,0.031881526535998565,0.24503484021161975,-0.21315331367562118
MATHMOT,L3,0.04235906893326822,0.26538958232804544,-0.22303051339477722
SDLEFF,L0,0.17289999557932034,0.16547903641829534,0.007420959161025004
SDLEFF,L1,0.11832566642503332,0.13233639997817254,-0.014010733553139212
SDLEFF,L2,0.10612412414570137,0.14240049881626915,-0.03627637467056778
SDLEFF,L3,0.11832566642503332,0.13233639997817254,-0.014010733553139212
hwk_h,L0,0.13141267127584128,-0.1753697123210053,0.30678238359684656
hwk_h,L1,0.09491273634604688,-0.14492261064853612,0.239835346994583
hwk_h,L2,0.08640845050383525,-0.1501217179679225,0.23653016847175776
hwk_h,L3,0.09491273634604688,-0.14492261064853612,0.239835346994583
