dropped_region,dropped_country,new_gap,change
Nordic,SWE,20.983031434175587,-2.3743042171332434
Nordic,FIN,20.983031434175587,-2.3743042171332434
Nordic,ISL,25.731639868442073,2.3743042171332434
Nordic,DNK,25.731639868442073,2.3743042171332434
East Asia,TAP,23.233512593320512,-0.12382305798831794
East Asia,VNM,23.233512593320512,-0.12382305798831794
East Asia,SGP,23.233512593320512,-0.12382305798831794
East Asia,KOR,23.481158709297148,0.12382305798831794
East Asia,HKG,23.481158709297148,0.12382305798831794
East Asia,MAC,23.481158709297148,0.12382305798831794
