CNT,n_stud,n_school,pv_math_mean,hwk_mean,study_mean,escs_mean,east_asia,nordic,oecd
SGP,6606,164,574.6638195932204,2.397777620497072,5.759513949645574,0.3064482318690433,1,0,0
MAC,4384,46,551.923153064622,2.1435891530412836,6.827181895229123,-0.4488941210209979,1,0,0
TAP,5857,182,547.0941643886058,1.835818432046826,4.979530979756557,-0.18541301096194934,1,0,0
HKG,5907,163,540.3518012286893,2.168914664953165,6.188007415487234,-0.46185793719116364,1,0,0
JPN,5760,182,535.5793059957158,1.9490143580704973,4.99305817733154,-0.0068250217097617725,1,0,1
KOR,6454,186,527.3025017804584,2.8306867358374466,5.393015038589826,0.22438568549861265,1,0,1
EST,6392,196,509.94695322476144,1.7626099144226757,5.790472052348895,0.15072518810963964,0,0,1
CHE,6829,260,507.9905864487029,1.3451965283124816,4.562115053119256,0.16916674411868815,0,0,1
CAN,23073,863,496.947894435704,1.8887408162888757,4.565183976149832,0.3811020834349589,0,0,1
NLD,5046,154,492.6756389784962,1.7042317347207312,4.639463558294436,0.25346078228009306,0,0,1
IRL,5569,170,491.6482795918827,1.4825915953918989,4.045410662712019,0.3329791371384958,0,0,1
BEL,8286,285,489.486816744945,1.7900176269766177,5.286193200944396,0.08287633453443578,0,0,1
DNK,6200,347,489.273876942411,1.3917429788696392,3.413384650797833,0.4760777394194428,0,1,1
GBR,12972,451,488.9750850657636,1.6697859106769317,4.57506831913655,0.13638065860924,0,0,1
POL,6011,240,488.9600537637015,1.815381395670944,4.92734579232336,-0.10514068515163943,0,0,1
AUT,6151,302,487.2674989673573,1.5885567276975396,5.360072568795921,0.06906735838519015,0,0,1
AUS,13437,743,487.0842535121308,1.719423274134379,3.6380516825249933,0.379366600098662,0,0,1
CZE,8460,430,486.9992078519244,1.5273766905049357,4.382208456377484,-0.10408606887443415,0,0,1
SVN,6721,345,484.52900864834976,1.7566753265793495,5.127291709536568,0.2258082638351057,0,0,1
FIN,10239,241,484.1392256377669,1.2847515491380772,4.944424426838878,0.25848283679375944,0,1,1
LVA,5373,225,483.15945520181765,1.7695900563636002,5.811560083579887,-0.009482523427919616,0,0,1
SWE,6072,262,481.7660653970073,1.405039039241786,4.028415993195013,0.326591020590031,0,1,1
NZL,4682,169,479.07419345237787,1.4824864382255367,3.512481667364972,0.21906359919765706,0,0,1
LTU,7257,292,475.1467619772571,1.995000935605318,6.439495618857025,0.0522950661242306,0,0,1
DEU,6116,257,474.82645390785706,1.5588305423121682,4.797468894361279,-0.13699001801812014,0,0,1
FRA,6770,282,473.9444184205984,1.6591948075720757,5.671910374913132,1.853907930411522e-4,0,0,1
ESP,30800,966,473.14020802460686,1.8288718613497406,5.793564855244574,-0.033199497264932515,0,0,1
HUN,6198,262,472.77612237193995,1.6666886211272955,5.533881017291251,0.002978227170639489,0,0,1
PRT,6793,224,471.9105221057486,1.7754893120686892,5.266423335082511,-0.22635525994346117,0,0,1
ITA,10552,344,471.2594754762866,2.134724514419104,6.4506535135548795,-0.10021047625315677,0,0,1
VNM,6068,178,469.40242748130413,2.221502588308096,8.054722901714175,-1.2884180884607053,1,0,0
NOR,6611,265,468.44994989168754,1.5217049696175882,3.891601366847608,0.5214971144813197,0,1,1
MLT,3127,46,466.0161129110568,1.9845204403165322,5.395913241147016,0.019249469638917993,0,0,0
USA,4552,154,464.888043012123,1.6352099305192875,4.531323268058314,0.05616286857446633,0,0,1
SVK,5824,288,463.9946184782649,1.5714019999126325,5.070022585385956,-0.3029966638479775,0,0,1
HRV,6135,180,463.10518936749145,1.849605300005941,6.068497240941826,-0.1519635999117231,0,0,0
ISL,3360,134,458.91401434518576,1.5496736323651539,3.547236819458316,0.3781051237992792,0,1,1
ISR,6251,193,457.8966665933152,2.084157217899844,4.589351469380938,0.27995699607366575,0,0,1
TUR,7250,196,453.15176740183233,1.9857805108002393,6.003365177107964,-1.1854430482598908,0,0,1
BRN,5576,54,442.0931044709813,2.364470924069152,5.546493405243322,-0.25725751169077976,0,0,0
QUR,3876,164,440.8453088892642,2.2212522073973653,7.510264046290243,-0.35106736893698254,0,0,0
SRB,6413,183,439.8766666814575,1.6670594788675626,6.085441467628004,-0.20239388689623117,0,0,0
ARE,24600,840,431.110476583555,2.2825594957706796,6.696601006305515,0.2966563804048203,0,0,0
GRC,6403,230,430.14632185328054,2.0976177773775357,5.843393578123667,-0.154869593520961,0,0,1
ROU,7364,262,427.7599966689727,2.074458692796566,5.620197085964165,-0.36212655566693946,0,0,0
KAZ,19769,571,425.4391288356629,1.9329348074541595,7.582092170202877,-0.3723667452209884,0,0,0
MNG,6999,195,424.5931285428447,2.354119077126432,7.134720311731205,-0.7291488625589954,0,0,0
BGR,6107,202,417.3039003748683,1.9631752563199814,5.608333426278016,-0.27220649375191536,0,0,0
MDA,6235,265,414.1980631976305,1.9948904277358837,7.251705097933039,-0.522542343064163,0,0,0
QAT,7676,229,414.1062217855216,1.977628505881774,6.037051565930499,0.10747423028135135,0,0,0
CHL,6488,230,411.69657070809603,2.112364902596471,4.357181974737724,-0.5086492927143373,0,0,1
URY,6618,222,408.71206639217013,1.9882158957709561,5.636925812508203,-0.8328537154717347,0,0,0
MYS,7069,199,408.6874321942563,2.4533543958604778,6.733138162927758,-0.6848914977984744,0,0,0
MNE,5793,63,405.60117333799366,1.803285362292394,5.760100986040516,-0.20551682878286998,0,0,0
QAZ,7720,199,396.8822928708398,2.7596532139073857,6.730170136081799,-0.5093424757669788,0,0,0
MEX,6288,280,395.0299192187102,2.3595051499090336,6.856508538300546,-0.9524373255716473,0,0,1
THA,8495,279,393.9453559167337,2.185574722430571,5.399248663978697,-1.2310386460231368,0,0,0
PER,6968,336,391.23578464022944,2.540551876515324,7.171192860547742,-1.1534973668700967,0,0,0
GEO,6583,267,390.02422032168255,2.1750121523352903,6.788893139098487,-0.46609404448686065,0,0,0
SAU,6928,193,388.781606995968,1.619281628799731,7.548039613476952,-0.2896089240150509,0,0,0
MKD,6610,111,388.5755067832621,1.8638921403088031,6.429357425364054,-0.27981664973100984,0,0,0
CRI,6113,198,384.5760411243574,2.268141978215825,2.8782845520520803,NA,0,0,1
COL,7804,262,382.6968351295673,2.452004781987848,7.273081926095533,-1.0651248666066757,0,0,1
BRA,10798,598,378.69136694698255,2.007791880195702,5.940841550429903,-0.9914729633663947,0,0,0
ARG,12111,457,377.5290286484539,2.0655377541850366,4.332525608299544,-0.80197375331075,0,0,0
JAM,3873,147,377.4169392186348,2.232627723331449,5.4250861716630965,-0.5503355620693652,0,0,0
ALB,6129,274,368.2217199510451,2.475558729056317,7.258626332769837,-0.7514551558746204,0,0,0
PSE,7905,273,365.7466764424854,1.8270974280776553,7.068780929670047,-0.9119491977041476,0,0,0
IDN,13439,410,365.5252538715769,2.1220405476236546,5.964119144805673,-1.555847023396357,0,0,0
MAR,6867,178,364.7662406960325,2.4522029255162527,6.593202594535893,-1.784536001667121,0,0,0
UZB,7293,202,363.93537468143256,2.2235427649990847,7.6166443439267,-0.6886793689979404,0,0,0
JOR,7799,260,361.2280283665785,2.084916711686655,7.121987312284525,-0.8164571700685548,0,0,0
PAN,4544,215,356.57350391859563,2.430084404667868,7.1767691331962835,-0.9467632798211757,0,0,0
KSV,6027,229,354.9624438264088,2.0089491018760146,6.747239831478326,-0.3432331768521614,0,0,0
PHL,7193,188,354.7197127888579,2.515598305723145,6.4882555890022955,-1.3379003723399463,0,0,0
GTM,5190,290,344.19948813728763,2.4304444134531966,7.468924426280401,-1.5128962163908557,0,0,0
SLV,6705,290,343.46910097672264,2.390112409890079,7.094308635181003,-1.391598156704186,0,0,0
DOM,6868,253,339.1072467325859,2.319061468482985,7.36658677171366,-0.7096963763568349,0,0,0
PRY,5084,281,337.53975043615014,2.3684620817440836,6.562226224032013,-1.2449073955603194,0,0,0
KHM,5279,183,336.39604125930657,2.290104860018195,7.156072649907612,-2.0113231811312,0,0,0
